#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322789797148	-1	-1	-1	-1
1456322802980974	-1	-1	-1	-1
13162197	0	126	1	1	
13164021	58	17	0	0	
13169645	54	31	1	0	
13169647	54	31	1	0	
13170927	7	32	0	0	
13170930	7	32	0	0	
13172356	49	107	0	1	
13173152	25	30	1	0	
13175140	54	24	0	1	
13177640	25	82	0	0	
13179508	25	83	0	0	
13182924	24	82	0	0	
13183138	38	48	0	0	
13183812	37	48	0	0	
13185522	43	109	1	0	
13185762	55	9	0	1	
13185975	43	63	1	0	
13186152	2	126	1	1	
13186153	2	126	1	1	
13187739	7	31	1	0	
13187740	7	31	1	0	
13187786	68	81	0	1	
13188653	22	82	0	0	
13188951	124	104	0	0	
13189306	68	115	0	1	
13189374	73	46	1	1	
13190376	24	83	0	0	
13191179	22	82	1	0	
13193443	23	82	0	0	
13194885	58	29	0	0	
13195221	25	81	0	0	
13196317	57	6	1	0	
13196833	55	12	0	1	
13204463	55	18	0	1	
13205353	55	7	0	1	
13208560	25	81	1	0	
13208561	25	81	1	0	
13209545	58	107	0	1	
13212660	66	104	1	1	
13213383	112	58	1	0	
13215526	127	26	1	0	
13216293	46	56	1	1	
13220017	75	46	1	1	
13220170	4	108	0	1	
13220464	55	0	0	1	
13220615	85	46	1	1	
13220909	55	16	0	1	
13220922	55	107	0	1	
13222489	48	30	1	1	
13222670	56	23	0	1	
13222727	5	108	0	1	
13223131	75	107	0	1	
13223132	75	107	0	1	
13224312	76	107	0	1	
13227179	55	14	0	1	
13227432	55	8	0	1	
13227488	121	58	1	0	
13227803	55	21	0	1	
13228285	77	107	0	1	
13228696	55	46	1	1	
13229284	56	105	1	1	
13240668	58	15	0	0	
13244644	115	25	1	1	
13245176	49	81	0	0	
13245540	55	13	0	1	
13246537	58	25	0	0	
13248725	125	103	1	1	
13248726	125	103	1	1	
13249193	85	41	0	0	
13249256	49	70	0	0	
13249619	55	17	0	1	
13250118	77	37	1	0	
13250404	96	117	1	0	
13250648	122	9	1	1	
13252339	57	0	0	0	
13252348	57	8	0	0	
13252371	58	19	0	0	
13252625	57	3	0	0	
13252678	91	106	1	1	
13252679	91	106	1	1	
13253368	122	13	1	1	
13253369	122	13	1	1	
13254838	46	59	0	1	
13255458	57	4	0	0	
13255708	46	57	0	1	
13256384	58	22	0	0	
13256385	57	11	0	0	
13256404	50	99	0	0	
13256422	57	9	0	0	
13259290	57	7	0	0	
13260102	76	107	1	1	
13261822	57	10	0	0	
13263453	58	1	0	0	
13263628	57	1	0	0	
13267402	55	1	0	1	
13267515	57	2	0	0	
13268537	104	60	0	0	
13269819	57	5	0	0	
13270916	121	4	0	0	
13271030	58	28	0	0	
13271087	96	67	0	0	
13271403	58	13	0	0	
13272412	57	12	0	0	
13273242	57	6	0	0	
13273388	58	26	0	0	
13273669	45	48	0	1	
13273670	45	48	0	1	
13274210	49	63	0	0	
13275409	122	11	1	1	
13276211	55	20	0	1	
13276268	58	20	0	0	
13277891	57	16	0	0	
13278839	55	15	0	1	
13278953	114	56	1	0	
13279244	120	26	1	1	
13279531	55	21	0	1	
13279572	57	17	0	0	
13280546	55	6	0	1	
13280721	125	61	1	1	
13280885	46	47	1	1	
13283095	57	0	0	0	
13283150	57	20	0	0	
13283584	66	107	0	1	
1456322803081438	-1	-1	-1	-1
13283756	58	37	0	0	
13283761	58	0	0	0	
13284553	55	6	1	1	
13284995	127	14	1	0	
13284999	57	9	0	0	
13285062	127	64	1	0	
13285321	57	5	0	0	
13285549	61	107	0	1	
13285844	58	5	0	0	
13286081	57	15	0	0	
13286143	57	3	0	0	
13286183	56	36	0	0	
13286374	56	107	0	1	
13286634	70	60	1	0	
13287641	126	36	1	0	
13287683	47	56	0	1	
13288414	57	8	0	0	
13288575	57	4	0	0	
13288638	55	5	0	1	
13288662	57	13	0	0	
13288881	74	107	0	1	
13289395	49	64	0	0	
13289425	68	102	0	0	
13290299	55	19	0	1	
13290517	75	24	0	1	
13290706	75	23	0	1	
13291392	46	48	0	1	
13291483	58	36	0	0	
13291907	122	12	1	1	
13291911	57	11	0	0	
13291941	122	17	1	1	
13292302	57	105	1	1	
13292350	58	9	0	0	
13292574	58	61	1	0	
13292833	2	127	1	1	
13292834	2	127	1	1	
13293133	57	7	0	0	
13293161	57	14	0	0	
13293175	83	107	0	1	
13294011	50	47	1	1	
13294032	46	54	0	1	
13294152	68	24	0	1	
13294352	57	1	0	0	
13294456	67	107	0	1	
13295578	51	107	0	1	
13295923	57	18	0	0	
13295934	64	37	0	0	
13295983	44	104	1	1	
13295985	44	104	1	1	
13296092	47	50	0	1	
13296191	42	63	1	0	
13296262	55	10	0	1	
13296279	46	49	0	1	
13296888	50	120	0	0	
13297261	55	2	0	1	
13297312	110	45	1	1	
13297313	110	45	1	1	
13297320	55	4	0	1	
13297402	50	63	0	0	
13297819	57	19	0	0	
13297835	57	22	0	0	
13299887	95	104	1	1	
13300313	0	126	1	1	
13300314	0	126	1	1	
