#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322238212587	-1	-1	-1	-1
1456322263756346	-1	-1	-1	-1
25537915	27	89	1	0	
25538618	95	13	0	1	
25539013	94	13	0	1	
25539473	126	65	0	0	
25539748	49	110	1	1	
25540930	37	48	1	0	
25544960	94	13	1	1	
25547071	81	45	0	1	
25547145	95	14	0	1	
25548915	100	19	1	1	
25548916	100	19	1	1	
25549492	76	25	0	0	
25549825	98	106	0	0	
25550498	19	68	1	0	
25552162	29	34	0	1	
25555193	117	114	1	1	
25555514	96	12	0	1	
25556169	11	111	0	0	
25556677	74	46	0	1	
25557464	114	76	0	1	
25557603	44	33	0	0	
25559575	91	11	0	0	
25560523	100	18	1	1	
25562040	95	76	0	1	
25562488	60	29	0	0	
25563362	97	12	0	1	
25563808	53	48	0	0	
25564253	81	53	0	0	
25565425	34	55	0	0	
25565464	81	108	0	0	
25566773	77	25	0	0	
25567222	23	63	1	0	
25567223	23	63	1	0	
25567594	60	28	0	0	
25568041	95	13	1	1	
25568042	95	13	1	1	
25568774	94	14	0	1	
25569707	64	7	0	0	
25570944	20	31	1	0	
25572582	119	62	0	0	
25573394	96	13	0	1	
25574696	101	19	1	1	
25574698	101	19	1	1	
25577639	96	12	1	1	
25577640	96	12	1	1	
25578863	126	111	1	0	
25579585	86	92	0	0	
25579935	115	114	0	1	
25581204	61	29	0	0	
25582061	15	113	0	1	
25582455	65	7	0	0	
25583339	117	31	0	1	
25584031	66	34	0	1	
25584530	98	13	0	1	
25585782	67	34	0	1	
25587794	38	29	1	1	
25588810	90	11	0	0	
25590603	35	98	1	0	
25592188	106	48	0	1	
25592448	115	119	0	0	
25592675	78	11	0	1	
25593530	114	119	0	0	
25593929	98	13	1	1	
25594166	58	127	0	1	
25594174	64	6	0	0	
25594582	0	31	0	0	
25595485	127	111	0	0	
25596157	78	12	1	1	
25598119	115	118	0	0	
25599026	32	57	1	1	
25599644	118	79	0	1	
25601043	20	126	1	1	
25602938	107	47	0	1	
25602940	107	47	0	1	
25602983	12	111	1	0	
25602984	12	111	1	0	
25602995	65	7	1	0	
25605303	98	12	0	1	
25605561	114	114	1	1	
25605734	38	86	0	0	
25606984	42	125	1	1	
25607977	40	87	0	0	
25608082	1	30	0	0	
25608084	1	30	0	0	
25610216	106	108	1	0	
25612847	109	76	0	1	
25613103	114	118	0	0	
25613545	115	91	0	0	
25615416	53	83	0	0	
25616032	126	58	0	0	
25616901	99	12	0	1	
25620468	94	14	1	1	
25620469	94	14	1	1	
25620905	50	123	1	1	
25621854	116	7	1	1	
25621855	116	7	1	1	
25628159	104	53	0	1	
25628587	94	79	0	1	
25629847	4	76	0	1	
25630019	31	6	0	0	
25631282	79	33	0	1	
25631565	79	12	1	1	
25631757	64	6	1	0	
25631827	89	120	1	0	
25633618	78	11	1	1	
25634141	98	11	0	1	
25634142	98	11	0	1	
25635034	100	19	1	1	
25639134	99	11	0	1	
25639135	99	11	0	1	
1456322263856406	-1	-1	-1	-1
25641012	124	110	1	0	
25641993	115	118	1	0	
25643199	98	12	1	1	
25643425	24	33	1	0	
25644342	117	78	0	0	
25644758	116	78	0	0	
25645025	107	47	1	1	
25645026	107	47	1	1	
25646120	17	18	0	0	
25646799	117	80	0	0	
25646953	3	44	1	0	
25646954	3	44	1	0	
25647161	63	48	0	1	
25650190	100	10	0	1	
25650341	99	11	1	1	
25652165	11	73	1	0	
25654296	42	1	0	1	
25654468	86	45	0	0	
25655308	78	25	0	0	
25655638	97	11	0	1	
25656771	91	32	1	0	
25657214	43	1	0	1	
25659955	90	11	1	0	
25663569	39	87	0	0	
25664445	101	1	1	0	
25665384	11	95	0	0	
25669707	119	78	0	0	
25670490	0	30	0	0	
25671242	95	14	1	1	
25671988	124	123	0	0	
25673888	94	12	1	1	
25674054	98	91	0	0	
