#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322310051626	-1	-1	-1	-1
1456322327940428	-1	-1	-1	-1
17868763	46	18	1	0	
17868764	46	18	1	0	
17871823	3	99	0	0	
17876867	94	104	1	0	
17877495	6	88	1	0	
17877497	6	88	1	0	
17877974	47	18	1	0	
17879263	44	111	1	1	
17881601	57	123	1	1	
17881853	113	32	1	1	
17883271	90	97	0	0	
17884872	126	46	1	0	
17886053	1	88	1	0	
17896382	56	88	0	1	
17896509	19	17	0	1	
17900077	18	17	0	1	
17900517	0	99	0	0	
17900518	0	99	0	0	
17900661	55	88	0	1	
17900986	64	43	1	0	
17902004	92	34	0	1	
17902832	73	90	1	1	
17905543	88	98	1	1	
17906665	127	80	0	0	
17907049	1	99	0	0	
17909133	19	16	0	1	
17909542	66	88	0	1	
17909823	2	99	1	0	
17910830	49	88	0	1	
17911298	37	127	1	1	
17913331	116	23	0	1	
17913799	100	14	1	1	
17913800	100	14	1	1	
17915799	116	119	0	1	
17916832	64	88	0	1	
17918629	0	126	1	1	
17919758	75	88	0	1	
17919807	48	88	0	1	
17921198	77	93	0	0	
17921339	127	46	1	0	
17921580	60	88	0	1	
17922251	64	102	0	0	
17922343	47	88	0	1	
17923080	54	88	0	1	
17923348	20	112	1	0	
17924463	69	88	0	1	
17927294	75	30	1	1	
17927360	10	89	0	1	
17927527	75	102	0	1	
17927646	1	127	1	1	
17928165	21	88	0	0	
17928242	21	89	0	0	
17929067	29	70	1	0	
17931424	0	98	0	0	
17931425	0	98	0	0	
17931710	50	29	1	1	
17936289	20	88	0	0	
17936627	100	89	0	1	
17936628	100	89	0	1	
17938974	89	47	0	0	
17939179	55	101	0	0	
17939192	124	55	0	0	
17939472	76	121	0	0	
17942484	56	122	1	1	
17943520	74	102	0	1	
17944094	77	121	0	0	
17945045	65	74	0	0	
17945608	21	70	1	0	
17948357	74	103	0	1	
17949147	65	64	0	0	
17949567	100	45	1	0	
17949620	94	47	0	0	
17950119	49	32	0	1	
17951127	99	89	0	1	
17953974	0	99	1	0	
17953975	0	99	1	0	
17954858	79	30	1	1	
17955360	108	104	0	1	
17956473	58	29	1	1	
17956580	0	98	1	0	
17956581	0	98	1	0	
17956789	98	89	0	1	
17958719	0	74	0	1	
17959149	18	17	1	1	
17959150	18	17	1	1	
17959996	1	74	0	1	
17959997	1	74	0	1	
17960122	103	61	0	0	
17967577	75	121	0	0	
17968042	64	102	1	0	
17970384	63	51	0	0	
1456322328040669	-1	-1	-1	-1
17976498	77	58	0	0	
17977338	74	104	0	1	
17978508	78	113	1	0	
17980577	75	103	0	1	
17981712	99	89	1	1	
17981714	99	89	1	1	
17983556	43	16	1	0	
17996588	37	54	0	1	
17998610	74	95	0	0	
17998871	38	96	0	1	
18002155	101	90	1	1	
18003305	39	96	0	1	
18005015	0	75	0	1	
18005016	0	75	0	1	
